EVENT,BOUT,FIGHTER1,FIGHTER2,AGE.DIFF
UFC 322: Della Maddalena vs. Makhachev,Islam Makhachev vs. Jack Della Maddalena,Islam Makhachev,Jack Della Maddalena,4.876712328767123
UFC 322: Della Maddalena vs. Makhachev,Valentina Shevchenko vs. Zhang Weili,Valentina Shevchenko,Zhang Weili,1.4356164383561705
UFC 322: Della Maddalena vs. Makhachev,Michael Morales vs. Sean Brady,Michael Morales,Sean Brady,-6.5863013698630155
UFC 322: Della Maddalena vs. Makhachev,Carlos Prates vs. Leon Edwards,Carlos Prates,Leon Edwards,-1.980821917808214
UFC 322: Della Maddalena vs. Makhachev,Benoit Saint Denis vs. Beneil Dariush,Benoit Saint Denis,Beneil Dariush,-6.621917808219177
UFC 322: Della Maddalena vs. Makhachev,Bo Nickal vs. Rodolfo Vieira,Bo Nickal,Rodolfo Vieira,-6.306849315068487
UFC 322: Della Maddalena vs. Makhachev,Gregory Rodrigues vs. Roman Kopylov,Gregory Rodrigues,Roman Kopylov,-0.7917808219178042
UFC 322: Della Maddalena vs. Makhachev,Erin Blanchfield vs. Tracy Cortez,Erin Blanchfield,Tracy Cortez,-5.399999999999999
UFC 322: Della Maddalena vs. Makhachev,Ethyn Ewing vs. Malcolm Wellmaker,Ethyn Ewing,Malcolm Wellmaker,-3.7068493150684922
UFC 322: Della Maddalena vs. Makhachev,Kyle Daukaus vs. Gerald Meerschaert,Kyle Daukaus,Gerald Meerschaert,-5.200000000000003
UFC 322: Della Maddalena vs. Makhachev,Pat Sabatini vs. Chepe Mariscal,Pat Sabatini,Chepe Mariscal,1.9671232876712352
UFC 322: Della Maddalena vs. Makhachev,Fatima Kline vs. Angela Hill,Fatima Kline,Angela Hill,-15.506849315068497
UFC 322: Della Maddalena vs. Makhachev,Baisangur Susurkaev vs. Eric McConico,Baisangur Susurkaev,Eric McConico,-10.67671232876712
UFC 322: Della Maddalena vs. Makhachev,Matheus Camilo vs. Viacheslav Borshchev,Matheus Camilo,Viacheslav Borshchev,-8.991780821917807
UFC Fight Night: Bonfim vs. Brown,Gabriel Bonfim vs. Randy Brown,Gabriel Bonfim,Randy Brown,-7.123287671232877
UFC Fight Night: Bonfim vs. Brown,Joseph Morales vs. Matt Schnell,Joseph Morales,Matt Schnell,-4.602739726027398
UFC Fight Night: Bonfim vs. Brown,Uros Medic vs. Muslim Salikhov,Uros Medic,Muslim Salikhov,-8.88219178082192
UFC Fight Night: Bonfim vs. Brown,Chris Padilla vs. Ismael Bonfim,Chris Padilla,Ismael Bonfim,0.28767123287671126
UFC Fight Night: Bonfim vs. Brown,Christian Leroy Duncan vs. Marco Tulio,Christian Leroy Duncan,Marco Tulio,-1.1123287671232838
UFC Fight Night: Bonfim vs. Brown,Jamall Emmers vs. Hyder Amil,Jamall Emmers,Hyder Amil,0.8438356164383549
UFC Fight Night: Bonfim vs. Brown,Raoni Barcelos vs. Ricky Simon,Raoni Barcelos,Ricky Simon,5.339726027397262
UFC Fight Night: Bonfim vs. Brown,Jacqueline Cavalcanti vs. Mayra Bueno Silva,Jacqueline Cavalcanti,Mayra Bueno Silva,-6.024657534246572
UFC Fight Night: Bonfim vs. Brown,Josh Hokit vs. Max Gimenis,Josh Hokit,Max Gimenis,-4.5835616438356155
UFC Fight Night: Bonfim vs. Brown,Denise Gomes vs. Tecia Pennington,Denise Gomes,Tecia Pennington,-10.378082191780827
UFC Fight Night: Bonfim vs. Brown,Daniel Marcos vs. Miles Johns,Daniel Marcos,Miles Johns,1.0630136986301402
UFC Fight Night: Bonfim vs. Brown,Zach Reese vs. Jackson McVey,Zach Reese,Jackson McVey,5.0054794520547965
UFC Fight Night: Garcia vs. Onama,Steve Garcia vs. David Onama,Steve Garcia,David Onama,2.0438356164383578
UFC Fight Night: Garcia vs. Onama,Waldo Cortes Acosta vs. Ante Delija,Waldo Cortes Acosta,Ante Delija,-1.156164383561638
UFC Fight Night: Garcia vs. Onama,Jeremiah Wells vs. Themba Gorimbo,Jeremiah Wells,Themba Gorimbo,4.235616438356168
UFC Fight Night: Garcia vs. Onama,Yadier del Valle vs. Isaac Dulgarian,Yadier del Valle,Isaac Dulgarian,-0.06849315068493311
UFC Fight Night: Garcia vs. Onama,Charles Radtke vs. Daniel Frunza,Charles Radtke,Daniel Frunza,3.764383561643836
UFC Fight Night: Garcia vs. Onama,Allan Nascimento vs. Cody Durden,Allan Nascimento,Cody Durden,-0.4547945205479422
UFC Fight Night: Garcia vs. Onama,Billy Elekana vs. Kevin Christian,Billy Elekana,Kevin Christian,-0.34794520547945496
UFC Fight Night: Garcia vs. Onama,Timmy Cuamba vs. ChangHo Lee,Timmy Cuamba,ChangHo Lee,-4.7561643835616465
UFC Fight Night: Garcia vs. Onama,Donte Johnson vs. Sedriques Dumas,Donte Johnson,Sedriques Dumas,-3.473972602739728
UFC Fight Night: Garcia vs. Onama,Norma Dumont vs. Ketlen Vieira,Norma Dumont,Ketlen Vieira,0.9013698630136986
UFC Fight Night: Garcia vs. Onama,Alice Ardelean vs. Montserrat Conejo Ruiz,Alice Ardelean,Montserrat Conejo Ruiz,0.7945205479452042
UFC Fight Night: Garcia vs. Onama,Seokhyeon Ko vs. Phil Rowe,Seokhyeon Ko,Phil Rowe,-3.189041095890417
UFC Fight Night: Garcia vs. Onama,Talita Alencar vs. Ariane Carnelossi,Talita Alencar,Ariane Carnelossi,2.0876712328767155
UFC 321: Aspinall vs. Gane,Tom Aspinall vs. Ciryl Gane,Tom Aspinall,Ciryl Gane,-3.0
UFC 321: Aspinall vs. Gane,Mackenzie Dern vs. Virna Jandiroba,Mackenzie Dern,Virna Jandiroba,-4.819178082191783
UFC 321: Aspinall vs. Gane,Umar Nurmagomedov vs. Mario Bautista,Umar Nurmagomedov,Mario Bautista,-2.509589041095886
UFC 321: Aspinall vs. Gane,Alexander Volkov vs. Jailton Almeida,Alexander Volkov,Jailton Almeida,2.671232876712331
UFC 321: Aspinall vs. Gane,Azamat Murzakanov vs. Aleksandar Rakic,Azamat Murzakanov,Aleksandar Rakic,2.821917808219176
UFC 321: Aspinall vs. Gane,Quillan Salkilld vs. Nasrat Haqparast,Quillan Salkilld,Nasrat Haqparast,-4.353424657534244
UFC 321: Aspinall vs. Gane,Ikram Aliskerov vs. JunYong Park,Ikram Aliskerov,JunYong Park,-1.7780821917808254
UFC 321: Aspinall vs. Gane,Ludovit Klein vs. Mateusz Rebecki,Ludovit Klein,Mateusz Rebecki,-2.3890410958904127
UFC 321: Aspinall vs. Gane,Valter Walker vs. Louie Sutherland,Valter Walker,Louie Sutherland,-3.8493150684931514
UFC 321: Aspinall vs. Gane,Nathaniel Wood vs. Jose Delgado,Nathaniel Wood,Jose Delgado,4.956164383561642
UFC 321: Aspinall vs. Gane,Hamdy Abdelwahab vs. Chris Barnett,Hamdy Abdelwahab,Chris Barnett,-6.613698630136987
UFC 321: Aspinall vs. Gane,Mitch Raposo vs. Azat Maksum,Mitch Raposo,Azat Maksum,-3.7041095890410958
UFC 321: Aspinall vs. Gane,Mizuki vs. Jaqueline Amorim,Mizuki,Jaqueline Amorim,0.8465753424657585
UFC Fight Night: De Ridder vs. Allen,Brendan Allen vs. Reinier de Ridder,Brendan Allen,Reinier de Ridder,-5.309589041095887
UFC Fight Night: De Ridder vs. Allen,Mike Malott vs. Kevin Holland,Mike Malott,Kevin Holland,0.9972602739726
UFC Fight Night: De Ridder vs. Allen,Aiemann Zahabi vs. Marlon Vera,Aiemann Zahabi,Marlon Vera,5.041095890410958
UFC Fight Night: De Ridder vs. Allen,Manon Fiorot vs. Jasmine Jasudavicius,Manon Fiorot,Jasmine Jasudavicius,-0.9671232876712352
UFC Fight Night: De Ridder vs. Allen,Charles Jourdain vs. Davey Grant,Charles Jourdain,Davey Grant,-9.947945205479453
UFC Fight Night: De Ridder vs. Allen,Kyle Nelson vs. Matt Frevola,Kyle Nelson,Matt Frevola,-0.8575342465753408
UFC Fight Night: De Ridder vs. Allen,Drew Dober vs. Kyle Prepolec,Drew Dober,Kyle Prepolec,0.8630136986301409
UFC Fight Night: De Ridder vs. Allen,Aoriqileng vs. Cody Gibson,Aoriqileng,Cody Gibson,-5.791780821917811
UFC Fight Night: De Ridder vs. Allen,Bruno Silva vs. HyunSung Park,Bruno Silva,HyunSung Park,5.641095890410956
UFC Fight Night: De Ridder vs. Allen,Bruno Silva vs. HyunSung Park,Bruno Silva,HyunSung Park,6.315068493150687
UFC Fight Night: De Ridder vs. Allen,Djorden Santos vs. Danny Barlow,Djorden Santos,Danny Barlow,-2.0
UFC Fight Night: De Ridder vs. Allen,Stephanie Luciano vs. Ravena Oliveira,Stephanie Luciano,Ravena Oliveira,-2.819178082191783
UFC Fight Night: De Ridder vs. Allen,Yousri Belgaroui vs. Azamat Bekoev,Yousri Belgaroui,Azamat Bekoev,3.5780821917808225
UFC Fight Night: De Ridder vs. Allen,Melissa Croden vs. Tainara Lisboa,Melissa Croden,Tainara Lisboa,-0.11232876712328732
UFC Fight Night: Oliveira vs. Gamrot,Charles Oliveira vs. Mateusz Gamrot,Charles Oliveira,Mateusz Gamrot,1.1506849315068521
UFC Fight Night: Oliveira vs. Gamrot,Deiveson Figueiredo vs. Montel Jackson,Deiveson Figueiredo,Montel Jackson,4.353424657534248
UFC Fight Night: Oliveira vs. Gamrot,Joel Alvarez vs. Vicente Luque,Joel Alvarez,Vicente Luque,-1.2630136986301395
UFC Fight Night: Oliveira vs. Gamrot,Mario Pinto vs. Jhonata Diniz,Mario Pinto,Jhonata Diniz,-6.728767123287671
UFC Fight Night: Oliveira vs. Gamrot,Kaan Ofli vs. Ricardo Ramos,Kaan Ofli,Ricardo Ramos,2.117808219178084
UFC Fight Night: Oliveira vs. Gamrot,Michael Aswell Jr. vs. Lucas Almeida,Michael Aswell Jr.,Lucas Almeida,-9.663013698630134
UFC Fight Night: Oliveira vs. Gamrot,Jafel Filho vs. Clayton Carpenter,Jafel Filho,Clayton Carpenter,3.098630136986298
