event,bout,outcome,weightclass,method,round_end,round_end_time,time_format,referee,details,url,date,round_total,fighter1,fighter2,win_streak1,win_streak2,win_streak_delta,dob1,reach1,height1,dob2,reach2,height2,age1,age2,age_delta,reach_delta,height_delta
UFC 325: Volkanovski vs. Lopes 2,Alexander Volkanovski  vs. Diego Lopes ,Fighter1,Featherweight,Decision,5.0,5.0,5 Rnd (5-5-5-5-5),Marc Goddard,Ben Cartlidge 46 - 49.Sal D'amato 46 - 49.Clemens Werner 45 - 50.,http://ufcstats.com/fight-details/b06b43670238c2d8,2026-01-31,5.0,Alexander Volkanovski,Diego Lopes,1.0,1.0,0.0,1988-09-29,180.34,167.64,1994-12-30,182.88,180.34,37.3388090349076,31.08829568788501,6.250513347022586,-2.539999999999992,-12.700000000000017
UFC 325: Volkanovski vs. Lopes 2,Dan Hooker  vs. Benoit Saint Denis ,Fighter2,Lightweight,KO/TKO,2.0,4.75,3 Rnd (5-5-5),Herb Dean,Punches to Head From Mount ,http://ufcstats.com/fight-details/a7ae8f6eb5fc3a79,2026-01-31,3.0,Dan Hooker,Benoit Saint Denis,0.0,3.0,-3.0,1990-02-13,190.5,182.88,1995-12-18,185.42,180.34,35.964407939767284,30.12183436002738,5.842573579739906,5.0800000000000125,2.539999999999992
UFC 325: Volkanovski vs. Lopes 2,Rafael Fiziev  vs. Mauricio Ruffy ,Fighter2,Lightweight,KO/TKO,2.0,4.5,3 Rnd (5-5-5),Daniel Movahedi,Punches to Head On Ground ,http://ufcstats.com/fight-details/57d7a683b85bb87b,2026-01-31,3.0,Rafael Fiziev,Mauricio Ruffy,1.0,0.0,1.0,1993-03-05,180.34,172.72,1996-06-17,190.5,180.34,32.90896646132786,29.623545516769337,3.2854209445585205,-10.159999999999997,-7.6200000000000045
UFC 325: Volkanovski vs. Lopes 2,Tai Tuivasa  vs. Tallison Teixeira ,Fighter2,Heavyweight,Decision,3.0,5.0,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.Sal D'amato 28 - 29.Evan Field 28 - 29.,http://ufcstats.com/fight-details/67765535bd0b6bdf,2026-01-31,3.0,Tai Tuivasa,Tallison Teixeira,0.0,0.0,0.0,1993-03-16,190.5,187.96,1999-12-07,210.82,200.66,32.878850102669404,26.151950718685832,6.726899383983572,-20.319999999999993,-12.699999999999989
UFC 325: Volkanovski vs. Lopes 2,Quillan Salkilld  vs. Jamie Mullarkey ,Fighter1,Lightweight,Submission,1.0,3.03,3 Rnd (5-5-5),Daniel Movahedi,Neck Crank From Back Control ,http://ufcstats.com/fight-details/32e9bc4d0a19a923,2026-01-31,3.0,Quillan Salkilld,Jamie Mullarkey,3.0,1.0,2.0,1999-12-28,190.5,182.88,1994-08-17,187.96,182.88,26.094455852156056,31.457905544147845,-5.363449691991789,2.539999999999992,0.0
UFC 325: Volkanovski vs. Lopes 2,Junior Tafa  vs. Billy Elekana ,Fighter2,Light Heavyweight,Submission,2.0,3.3,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/d94f1b32a81e3fa1,2026-01-31,3.0,Junior Tafa,Billy Elekana,0.0,2.0,-2.0,1996-09-21,190.5,190.5,1995-05-28,195.58,190.5,29.360711841204655,30.680355920602327,-1.3196440793976727,-5.0800000000000125,0.0
UFC 325: Volkanovski vs. Lopes 2,Cam Rowston  vs. Cody Brundage ,Fighter1,Middleweight,KO/TKO,2.0,4.13,3 Rnd (5-5-5),Jim Perdios,Punches to Head On Ground ,http://ufcstats.com/fight-details/47362cae6ba0e077,2026-01-31,3.0,Cam Rowston,Cody Brundage,1.0,0.0,1.0,1995-01-19,198.12,190.5,1994-05-16,182.88,182.88,31.033538672142367,31.71252566735113,-0.6789869952087635,15.240000000000009,7.6200000000000045
UFC 325: Volkanovski vs. Lopes 2,Jacob Malkoun  vs. Torrez Finney ,Fighter1,Middleweight,Decision,3.0,5.0,3 Rnd (5-5-5),Steve Perceval,Ben Cartlidge 26 - 30.Sal D'amato 27 - 30.Charlie Keech 26 - 30.,http://ufcstats.com/fight-details/0047f8aadca1936f,2026-01-31,3.0,Jacob Malkoun,Torrez Finney,1.0,1.0,0.0,1995-08-26,185.42,175.26,1998-10-24,190.5,172.72,30.43394934976044,27.27173169062286,3.1622176591375784,-5.0800000000000125,2.539999999999992
UFC 325: Volkanovski vs. Lopes 2,Jonathan Micallef  vs. Oban Elliott ,Fighter1,Welterweight,Submission,2.0,3.52,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/78912b78aa946375,2026-01-31,3.0,Jonathan Micallef,Oban Elliott,1.0,0.0,1.0,1999-03-05,195.58,182.88,1997-12-19,182.88,182.88,26.910335386721425,28.11772758384668,-1.2073921971252553,12.700000000000017,0.0
UFC 325: Volkanovski vs. Lopes 2,Kaan Ofli  vs.  Yizha ,Fighter1,Featherweight,Decision,3.0,5.0,3 Rnd (5-5-5),Jim Perdios,Sal D'amato 28 - 29.David Lethaby 28 - 28.Evan Field 28 - 29.,http://ufcstats.com/fight-details/4c1e7e1765a5438a,2026-01-31,3.0,Kaan Ofli,Yizha,1.0,1.0,0.0,1993-06-19,167.64,170.18,1997-01-08,180.34,170.18,32.61875427789185,29.062286105407257,3.556468172484596,-12.700000000000017,0.0
UFC 325: Volkanovski vs. Lopes 2,Sangwook Kim  vs. Dom Mar Fan ,Fighter2,Lightweight,Decision,3.0,5.0,3 Rnd + OT (5-5-5-5),Daniel Movahedi,Ben Cartlidge 27 - 30.Clemens Werner 27 - 30.Charlie Keech 27 - 30.,http://ufcstats.com/fight-details/ad14c502c9c5a7e9,2026-01-31,3.0,Sangwook Kim,Dom Mar Fan,0.0,0.0,0.0,1993-10-17,180.34,182.88,2000-03-19,190.5,180.34,32.290212183436005,25.869952087611225,6.42026009582478,-10.159999999999997,2.539999999999992
UFC 325: Volkanovski vs. Lopes 2,Keiichiro Nakamura  vs. Sebastian Szalay ,Fighter1,Featherweight,KO/TKO,3.0,3.8,3 Rnd + OT (5-5-5-5),Herb Dean,Knee to Head At Distance ,http://ufcstats.com/fight-details/780bae82bdfc7112,2026-01-31,3.0,Keiichiro Nakamura,Sebastian Szalay,0.0,0.0,0.0,1998-12-02,177.8,177.8,1994-02-03,167.64,167.64,27.16495550992471,31.991786447638603,-4.826830937713893,10.160000000000025,10.160000000000025
UFC 325: Volkanovski vs. Lopes 2, Sulangrangbo  vs. Lawrence Lui ,Fighter2,Bantamweight,Decision,3.0,5.0,3 Rnd + OT (5-5-5-5),Jim Perdios,Ben Cartlidge 28 - 29.Sal D'amato 29 - 28.Evan Field 28 - 29.,http://ufcstats.com/fight-details/5c73e0013b859664,2026-01-31,3.0,Sulangrangbo,Lawrence Lui,0.0,0.0,0.0,2005-07-17,167.64,175.26,1996-08-04,182.88,170.18,20.542094455852155,29.492128678986994,-8.950034223134839,-15.240000000000009,5.079999999999984
UFC - Road to UFC 4.6,Nyamjargal Tumendemberel  vs. Terrance Saeteurn ,Fighter1,Flyweight,Submission,1.0,2.88,3 Rnd (5-5-5),Herb Dean,Anaconda Choke On Ground ,http://ufcstats.com/fight-details/16523b1bec3cd7b0,2025-08-22,3.0,Nyamjargal Tumendemberel,Terrance Saeteurn,0.0,0.0,0.0,1998-03-22,180.34,170.18,1995-05-30,170.18,167.64,27.419575633127995,30.23134839151266,-2.8117727583846666,10.159999999999997,2.5400000000000205
