FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
Tom Aaron,70.30676,47.443835616438356,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Abbadi,70.30676,42.46849315068493,180.34,,Orthodox,3.29,0.38,0.0,0.0,0.0,4.41,0.57,0.77
Nariman Abbasov,70.30676,31.876712328767123,172.72,167.64000000000001,Orthodox,3.0,0.2,0.0,0.0,0.0,5.67,0.46,0.66
Darion Abbey,120.20188,32.81095890410959,187.96,203.2,Orthodox,8.44,0.5,0.0,0.0,0.0,14.06,0.28,0.0
David Abbott,120.20188,60.66575342465753,182.88,,Switch,1.35,0.3,1.07,0.33,0.0,3.55,0.38,0.66
Hamdy Abdelwahab,120.20188,32.9041095890411,187.96,182.88,Southpaw,4.27,0.55,3.25,0.65,0.0,3.67,0.51,1.0
Mansur Abdul-Malik,83.91452,28.194520547945206,187.96,203.2,Orthodox,4.27,0.48,0.49,0.33,0.0,3.49,0.51,0.82
Shamil Abdurakhimov,106.59412,44.3013698630137,190.5,193.04,Orthodox,2.41,0.44,1.01,0.23,0.1,3.02,0.55,0.45
Hiroyuki Abe,65.77083999999999,55.87123287671233,167.64000000000001,,Orthodox,1.71,0.36,0.0,0.0,0.0,3.11,0.63,0.33
Daichi Abe,77.11064,34.06027397260274,180.34,180.34,Orthodox,3.8,0.33,0.33,0.5,0.0,4.49,0.56,0.0
Papy Abedi,83.91452,47.47945205479452,180.34,,Southpaw,2.8,0.55,3.47,0.57,1.3,3.15,0.48,0.5
Ricardo Abreu,83.91452,41.64931506849315,180.34,,Orthodox,3.79,0.31,2.13,0.42,0.7,3.98,0.68,1.0
Klidson Abreu,92.98636,32.983561643835614,182.88,187.96,Orthodox,2.05,0.4,0.64,0.2,0.0,2.9,0.55,0.8
Cyborg Abreu,,45.0027397260274,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Acacio,81.64656,47.986301369863014,172.72,,Orthodox,3.52,0.36,0.33,0.2,0.0,2.85,0.62,0.81
John Adajar,77.11064,34.49315068493151,175.26,190.5,Orthodox,3.9,0.52,0.0,0.0,0.0,6.28,0.44,0.0
Scott Adams,102.0582,,182.88,,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Adams,120.20188,33.92328767123288,195.58,203.2,Orthodox,7.09,0.55,0.91,0.66,0.0,4.06,0.34,0.57
Anthony Adams,83.91452,37.93424657534246,185.42000000000002,193.04,Orthodox,3.17,0.41,0.0,0.0,0.0,5.93,0.44,0.0
Zarrukh Adashev,56.699,33.38904109589041,165.1,165.1,Southpaw,3.65,0.4,0.0,0.0,0.5,3.04,0.64,1.0
Israel Adesanya,83.91452,36.41095890410959,193.04,203.2,Switch,4.02,0.48,0.05,0.11,0.1,3.2,0.55,0.76
Sam Adkins,102.0582,60.66575342465753,190.5,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Ado,77.11064,25.621917808219177,180.34,193.04,Switch,1.66,0.83,4.97,0.5,5.0,0.33,0.75,0.5
Nick Agallar,70.30676,46.93972602739726,172.72,,Orthodox,0.69,0.11,0.0,0.0,0.0,4.56,0.42,0.0
Mariya Agapova,56.699,28.695890410958903,167.64000000000001,172.72,Southpaw,4.43,0.54,0.55,0.66,0.8,3.62,0.52,0.45
Kantharaj Agasa,61.23492,33.83835616438356,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Aguiar,77.11064,56.92602739726028,177.8,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Aguiar,83.91452,37.85753424657534,182.88,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwin Aguilar,83.91452,53.97808219178082,177.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessica Aguilar,52.16308,43.62191780821918,160.02,160.02,Orthodox,4.93,0.5,0.94,0.25,0.2,7.19,0.53,0.5
Kevin Aguilar,70.30676,37.28219178082192,170.18,185.42000000000002,Orthodox,3.96,0.4,0.16,0.16,0.0,4.81,0.52,0.78
Jesus Aguilar,56.699,29.764383561643836,162.56,157.48,Orthodox,2.65,0.4,1.64,0.31,1.4,1.85,0.62,0.48
Christian Aguilera,77.11064,34.06575342465754,175.26,182.88,Switch,2.54,0.37,0.0,0.0,0.0,4.04,0.48,0.6
Nick Aguirre,61.23492,29.923287671232877,175.26,187.96,Southpaw,0.73,0.33,1.16,0.2,0.6,2.89,0.45,0.33
Agulali,56.699,20.69041095890411,175.26,170.18,Switch,2.74,0.6,0.0,0.0,0.0,2.19,0.59,1.0
Ahejiang Ailinuer,65.77083999999999,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Aina,70.30676,44.989041095890414,175.26,,Orthodox,2.87,0.33,0.0,0.0,0.0,6.33,0.59,0.71
Ashiek Ajim,61.23492,31.4986301369863,172.72,180.34,Switch,5.0,0.4,0.0,0.0,0.0,11.25,0.25,0.0
Hitomi Akano,61.23492,51.40821917808219,162.56,,Southpaw,0.59,0.45,0.0,0.0,0.5,2.58,0.55,0.08
Omari Akhmedov,83.91452,38.18904109589041,182.88,185.42000000000002,Orthodox,2.97,0.34,2.58,0.45,0.2,2.84,0.55,0.65
Yoshihiro Akiyama,77.11064,50.4027397260274,177.8,190.5,Orthodox,3.1,0.41,2.29,0.67,1.0,3.62,0.57,0.92
Rostem Akman,77.11064,34.0,177.8,182.88,Switch,1.8,0.25,1.0,0.4,0.0,3.97,0.57,0.87
Razak Al-Hassan,92.98636,43.605479452054794,187.96,,Orthodox,3.27,0.39,0.65,0.14,0.0,3.14,0.6,0.57
Abdul-Kareem Al-Selwady,70.30676,30.69041095890411,172.72,175.26,Orthodox,4.14,0.34,2.32,0.3,0.0,3.6,0.59,0.2
Mostapha Al-Turk,111.13004,52.443835616438356,187.96,195.58,Orthodox,1.36,0.19,0.0,0.0,0.0,3.61,0.53,0.0
Herdem Alacabek,92.98636,34.534246575342465,187.96,190.5,Orthodox,3.84,0.65,2.06,0.5,0.0,6.66,0.23,0.42
Javi Alanis,61.23492,,167.64000000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alatengheili,61.23492,34.013698630136986,165.1,167.64000000000001,Orthodox,2.82,0.32,1.74,0.43,0.0,5.12,0.57,0.75
Amir Albazi,56.699,32.14246575342466,165.1,172.72,Orthodox,2.72,0.34,1.39,0.32,0.5,3.71,0.61,0.5
