EVENT,BOUT,WEIGHTCLASS,METHOD,ROUND,TIME,DETAILS,WINNER,LOSER,TOTAL ROUNDS,AGE.DIFF.WINNER,REACH.DIFF.WINNER,HEIGHT.DIFF.WINNER
UFC 323: Dvalishvili vs. Yan 2 ,Merab Dvalishvili  vs. Petr Yan ,UFC Bantamweight Title Bout,Decision,5,5:00,Mike Bell 46 - 49.Eric Colon 46 - 49.Derek Cleary 47 - 48.,Petr Yan,Merab Dvalishvili,5.0,-2.0904109589041084,-2.539999999999992,2.5400000000000205
UFC 323: Dvalishvili vs. Yan 2 ,Alexandre Pantoja  vs. Joshua Van ,UFC Flyweight Title Bout,KO/TKO,1,0:26,to On GroundArm injury to Pantoja,Joshua Van,Alexandre Pantoja,5.0,-11.493150684931503,-5.0800000000000125,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Brandon Moreno  vs. Tatsuro Taira ,Flyweight Bout,KO/TKO,2,2:24,Punches to Head From Back Control ,Tatsuro Taira,Brandon Moreno,3.0,-6.142465753424663,0.0,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Henry Cejudo  vs. Payton Talbott ,Bantamweight Bout,Decision,3,5:00,Eric Colon 27 - 30.Sal D'amato 27 - 30.David Lethaby 27 - 30.,Payton Talbott,Henry Cejudo,3.0,-11.589041095890412,15.240000000000009,15.240000000000009
UFC 323: Dvalishvili vs. Yan 2 ,Jan Blachowicz  vs. Bogdan Guskov ,Light Heavyweight Bout,Decision,3,5:00,Junichiro Kamijo 28 - 29.Chris Lee 28 - 28.Ron McCarthy 28 - 28.,,,3.0,,,
UFC 323: Dvalishvili vs. Yan 2 ,Grant Dawson  vs. Manuel Torres ,Lightweight Bout,KO/TKO,1,2:25,Punch to Head At Distance ,Manuel Torres,Grant Dawson,3.0,-1.090410958904112,2.539999999999992,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Terrance McKinney  vs. Chris Duncan ,Lightweight Bout,Submission,1,2:30,Anaconda Choke On Ground ,Chris Duncan,Terrance McKinney,3.0,1.3506849315068514,-5.079999999999984,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Maycee Barber  vs. Karine Silva ,Women's Flyweight Bout,Decision,3,5:00,Sal D'amato 27 - 30.Mike Bell 28 - 29.Derek Cleary 28 - 29.,Maycee Barber,Karine Silva,3.0,-4.460273972602739,-5.0800000000000125,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Nazim Sadykhov  vs. Fares Ziam ,Lightweight Bout,KO/TKO,2,4:59,Punches to Head On Ground ,Fares Ziam,Nazim Sadykhov,3.0,-2.849315068493148,15.240000000000009,7.619999999999976
UFC 323: Dvalishvili vs. Yan 2 ,Marvin Vettori  vs. Brunno Ferreira ,Middleweight Bout,Decision,3,5:00,Derek Cleary 28 - 29.Eric Colon 28 - 29.Junichiro Kamijo 28 - 29.,Brunno Ferreira,Marvin Vettori,3.0,0.8767123287671268,-5.0800000000000125,-5.079999999999984
UFC 323: Dvalishvili vs. Yan 2 ,Edson Barboza  vs. Jalin Turner ,Lightweight Bout,KO/TKO,1,2:24,Punches to Head At Distance ,Jalin Turner,Edson Barboza,3.0,-9.326027397260273,5.0800000000000125,10.159999999999997
UFC 323: Dvalishvili vs. Yan 2 ,Iwo Baraniewski  vs. Ibo Aslan ,Light Heavyweight Bout,KO/TKO,1,1:29,Punches to Head At Distance ,Iwo Baraniewski,Ibo Aslan,3.0,-2.5780821917808225,-10.160000000000025,-7.6200000000000045
UFC 323: Dvalishvili vs. Yan 2 ,Mansur Abdul-Malik  vs. Antonio Trocoli ,Middleweight Bout,Submission,1,1:09,Guillotine Choke Standing ,Mansur Abdul-Malik,Antonio Trocoli,3.0,-6.8410958904109584,2.539999999999992,-10.159999999999997
UFC 323: Dvalishvili vs. Yan 2 ,Muhammad Naimov  vs. Mairon Santos ,Featherweight Bout,KO/TKO,3,0:21,Punches to Head At Distance ,Mairon Santos,Muhammad Naimov,3.0,-5.846575342465755,5.079999999999984,-5.079999999999984
UFC Fight Night: Tsarukyan vs. Hooker ,Arman Tsarukyan  vs. Dan Hooker ,Lightweight Bout,Submission,2,3:34,Arm Triangle From Mount ,Arman Tsarukyan,Dan Hooker,5.0,-6.6630136986301345,-7.6200000000000045,-12.699999999999989
UFC Fight Night: Tsarukyan vs. Hooker ,Belal Muhammad  vs. Ian Machado Garry ,Welterweight Bout,Decision,3,5:00,Anders Ohlsson 27 - 30.Vito Paolillo 27 - 30.Mark Collett 28 - 29.,Ian Machado Garry,Belal Muhammad,3.0,-9.364383561643837,5.0800000000000125,10.159999999999997
UFC Fight Night: Tsarukyan vs. Hooker ,Volkan Oezdemir  vs. Alonzo Menifield ,Light Heavyweight Bout,KO/TKO,1,1:27,Punches to Head At Distance ,Volkan Oezdemir,Alonzo Menifield,3.0,-1.9232876712328775,-2.539999999999992,5.0800000000000125
UFC Fight Night: Tsarukyan vs. Hooker ,Jack Hermansson  vs. Myktybek Orolbai ,Welterweight Bout,KO/TKO,1,2:46,Punch to Head At Distance ,Myktybek Orolbai,Jack Hermansson,3.0,-9.67671232876712,-7.6200000000000045,-7.619999999999976
UFC Fight Night: Tsarukyan vs. Hooker ,Waldo Cortes Acosta  vs. Shamil Gaziev ,Heavyweight Bout,KO/TKO,1,1:22,Punch to Head At Distance ,Waldo Cortes Acosta,Shamil Gaziev,3.0,-1.6438356164383592,0.0,0.0
UFC Fight Night: Tsarukyan vs. Hooker ,Tagir Ulanbekov  vs. Kyoji Horiguchi ,Flyweight Bout,Submission,3,2:18,Rear Naked Choke ,Kyoji Horiguchi,Tagir Ulanbekov,3.0,0.8191780821917831,-10.160000000000025,-5.0800000000000125
UFC Fight Night: Tsarukyan vs. Hooker ,Bogdan Grad  vs. Luke Riley ,Featherweight Bout,KO/TKO,2,0:30,Punches to Head From Guard ,Luke Riley,Bogdan Grad,3.0,-3.7561643835616394,,
UFC Fight Night: Tsarukyan vs. Hooker ,Nicolas Dalby  vs. Saygid Izagakhmaev ,Welterweight Bout,Decision,3,5:00,Ben Cartlidge 28 - 29.Vito Paolillo 29 - 28.Cezary Wojciechowski 28 - 29.,Nicolas Dalby,Saygid Izagakhmaev,3.0,9.8027397260274,,
UFC Fight Night: Tsarukyan vs. Hooker ,Alex Perez  vs. Asu Almabayev ,Flyweight Bout,Submission,3,0:22,Guillotine Choke In Clinch ,Asu Almabayev,Alex Perez,3.0,-1.8493150684931479,0.0,-5.079999999999984
UFC Fight Night: Tsarukyan vs. Hooker ,Abdul Rakhman Yakhyaev  vs. Rafael Cerqueira ,Light Heavyweight Bout,Submission,1,0:33,Rear Naked Choke ,Abdul Rakhman Yakhyaev,Rafael Cerqueira,3.0,-10.81369863013699,5.0800000000000125,-2.539999999999992
UFC Fight Night: Tsarukyan vs. Hooker ,Bekzat Almakhan  vs. Aleksandre Topuria ,Bantamweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Cezary Wojciechowski 27 - 30.Anders Ohlsson 28 - 29.,Aleksandre Topuria,Bekzat Almakhan,3.0,1.6958904109588993,0.0,0.0
UFC Fight Night: Tsarukyan vs. Hooker ,Ismail Naurdiev  vs. Ryan Loder ,Middleweight Bout,KO/TKO,1,1:26,Punch to Head At Distance ,Ismail Naurdiev,Ryan Loder,3.0,-5.208219178082189,-5.079999999999984,-10.159999999999997
UFC Fight Night: Tsarukyan vs. Hooker ,Nurullo Aliev  vs. Shem Rock ,Lightweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Anders Ohlsson 27 - 30.Cezary Wojciechowski 27 - 30.,Nurullo Aliev,Shem Rock,3.0,,,
UFC Fight Night: Tsarukyan vs. Hooker ,Marek Bujlo  vs. Denzel Freeman ,Heavyweight Bout,Decision,3,5:00,Vito Paolillo 27 - 30.Mark Collett 28 - 29.David Lethaby 28 - 29.,Denzel Freeman,Marek Bujlo,3.0,,,
UFC 322: Della Maddalena vs. Makhachev ,Jack Della Maddalena  vs. Islam Makhachev ,UFC Welterweight Title Bout,Decision,5,5:00,Derek Cleary 45 - 50.Sal D'amato 45 - 50.Ron McCarthy 45 - 50.,Islam Makhachev,Jack Della Maddalena,5.0,4.876712328767116,-7.619999999999976,-2.539999999999992
UFC 322: Della Maddalena vs. Makhachev ,Valentina Shevchenko  vs. Zhang Weili ,UFC Women's Flyweight Title Bout,Decision,5,5:00,Chris Bolinski 45 - 50.Eric Colon 45 - 50.Chris Lee 45 - 50.,Valentina Shevchenko,Zhang Weili,5.0,1.4356164383561634,7.619999999999976,2.539999999999992
