FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
Tom Aaron,155 lbs.,47.38356164383562,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Abbadi,155 lbs.,42.40821917808219,180.34,,Orthodox,3.29,0.38,0.0,0.0,0.0,4.41,0.57,0.77
Nariman Abbasov,155 lbs.,31.816438356164383,172.72,167.64000000000001,Orthodox,3.0,0.2,0.0,0.0,0.0,5.67,0.46,0.66
Darion Abbey,265 lbs.,32.75068493150685,187.96,203.2,Orthodox,8.44,0.5,0.0,0.0,0.0,14.06,0.28,0.0
David Abbott,265 lbs.,60.605479452054794,182.88,,Switch,1.35,0.3,1.07,0.33,0.0,3.55,0.38,0.66
Hamdy Abdelwahab,265 lbs.,32.843835616438355,187.96,182.88,Southpaw,4.27,0.55,3.25,0.65,0.0,3.67,0.51,1.0
Mansur Abdul-Malik,185 lbs.,28.134246575342466,187.96,203.2,Orthodox,4.27,0.48,0.49,0.33,0.0,3.49,0.51,0.82
Shamil Abdurakhimov,235 lbs.,44.24109589041096,190.5,193.04,Orthodox,2.41,0.44,1.01,0.23,0.1,3.02,0.55,0.45
Hiroyuki Abe,145 lbs.,55.81095890410959,167.64000000000001,,Orthodox,1.71,0.36,0.0,0.0,0.0,3.11,0.63,0.33
Daichi Abe,170 lbs.,34.0,180.34,180.34,Orthodox,3.8,0.33,0.33,0.5,0.0,4.49,0.56,0.0
Papy Abedi,185 lbs.,47.41917808219178,180.34,,Southpaw,2.8,0.55,3.47,0.57,1.3,3.15,0.48,0.5
Ricardo Abreu,185 lbs.,41.58904109589041,180.34,,Orthodox,3.79,0.31,2.13,0.42,0.7,3.98,0.68,1.0
Klidson Abreu,205 lbs.,32.92328767123288,182.88,187.96,Orthodox,2.05,0.4,0.64,0.2,0.0,2.9,0.55,0.8
Cyborg Abreu,--,44.942465753424656,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Acacio,180 lbs.,47.92602739726028,172.72,,Orthodox,3.52,0.36,0.33,0.2,0.0,2.85,0.62,0.81
John Adajar,170 lbs.,34.43287671232877,175.26,190.5,Orthodox,3.9,0.52,0.0,0.0,0.0,6.28,0.44,0.0
Scott Adams,225 lbs.,,182.88,,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Adams,265 lbs.,33.863013698630134,195.58,203.2,Orthodox,7.09,0.55,0.91,0.66,0.0,4.06,0.34,0.57
Anthony Adams,185 lbs.,37.87397260273973,185.42000000000002,193.04,Orthodox,3.17,0.41,0.0,0.0,0.0,5.93,0.44,0.0
Zarrukh Adashev,125 lbs.,33.32876712328767,165.1,165.1,Southpaw,3.65,0.4,0.0,0.0,0.5,3.04,0.64,1.0
Israel Adesanya,185 lbs.,36.35068493150685,193.04,203.2,Switch,4.02,0.48,0.05,0.11,0.1,3.2,0.55,0.76
Sam Adkins,225 lbs.,60.605479452054794,190.5,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Ado,170 lbs.,25.561643835616437,180.34,193.04,Switch,1.66,0.83,4.97,0.5,5.0,0.33,0.75,0.5
Nick Agallar,155 lbs.,46.87945205479452,172.72,,Orthodox,0.69,0.11,0.0,0.0,0.0,4.56,0.42,0.0
Mariya Agapova,125 lbs.,28.635616438356163,167.64000000000001,172.72,Southpaw,4.43,0.54,0.55,0.66,0.8,3.62,0.52,0.45
Kantharaj Agasa,135 lbs.,33.778082191780825,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Aguiar,170 lbs.,56.865753424657534,177.8,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Aguiar,185 lbs.,37.797260273972604,182.88,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwin Aguilar,185 lbs.,53.917808219178085,177.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessica Aguilar,115 lbs.,43.56164383561644,160.02,160.02,Orthodox,4.93,0.5,0.94,0.25,0.2,7.19,0.53,0.5
Kevin Aguilar,155 lbs.,37.221917808219175,170.18,185.42000000000002,Orthodox,3.96,0.4,0.16,0.16,0.0,4.81,0.52,0.78
Jesus Aguilar,125 lbs.,29.704109589041096,162.56,157.48,Orthodox,2.65,0.4,1.64,0.31,1.4,1.85,0.62,0.48
Christian Aguilera,170 lbs.,34.00547945205479,175.26,182.88,Switch,2.54,0.37,0.0,0.0,0.0,4.04,0.48,0.6
Nick Aguirre,135 lbs.,29.863013698630137,175.26,187.96,Southpaw,0.73,0.33,1.16,0.2,0.6,2.89,0.45,0.33
Agulali,125 lbs.,20.63013698630137,175.26,170.18,Switch,2.74,0.6,0.0,0.0,0.0,2.19,0.59,1.0
Ahejiang Ailinuer,145 lbs.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
