EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC Fight Night: Lewis vs. Nascimento ,Derrick Lewis  vs. Rodrigo Nascimento ,W/L,Heavyweight Bout,KO/TKO ,3,0:49,5 Rnd (5-5-5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/6f0f84075fa1a4b0
UFC Fight Night: Lewis vs. Nascimento ,Joaquin Buckley  vs. Nursulton Ruziboev ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Henry Guery 27 - 30.Chris Lee 26 - 30.Sal D'amato 27 - 29.,http://ufcstats.com/fight-details/b78a222fb448aed4
UFC Fight Night: Lewis vs. Nascimento ,Alonzo Menifield  vs. Carlos Ulberg ,L/W,Light Heavyweight Bout,KO/TKO ,1,0:12,3 Rnd (5-5-5),Nick Berens,Punches to Head At Distance ,http://ufcstats.com/fight-details/a049c12f43914449
UFC Fight Night: Lewis vs. Nascimento ,Diego Ferreira  vs. Mateusz Rebecki ,W/L,Lightweight Bout,KO/TKO ,3,4:51,3 Rnd (5-5-5),Gary Copeland,Punches to Head From Mount ,http://ufcstats.com/fight-details/6c67aa7063717a0c
UFC Fight Night: Lewis vs. Nascimento ,Alex Caceres  vs. Sean Woodson ,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 28 - 29.Brian Puccillo 28 - 29.Henry Guery 27 - 30.,http://ufcstats.com/fight-details/8aa07b6cc40f0cb2
UFC Fight Night: Lewis vs. Nascimento ,Waldo Cortes-Acosta  vs. Robelis Despaigne ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Josh Stewart,Chris Lee 26 - 30.David Huyette 27 - 30.Travis Buesking 27 - 30.,http://ufcstats.com/fight-details/e98eb6de29c62c9c
UFC Fight Night: Lewis vs. Nascimento ,Chase Hooper  vs. Viacheslav Borshchev ,W/L,Lightweight Bout,Submission ,2,3:00,3 Rnd (5-5-5),Keith Peterson,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/420a5e3b4010ebef
UFC Fight Night: Lewis vs. Nascimento ,Terrance McKinney  vs. Esteban Ribovics ,L/W,Lightweight Bout,KO/TKO ,1,0:37,3 Rnd (5-5-5),Gary Copeland,Kick to Head At Distance ,http://ufcstats.com/fight-details/8d9bcbb48888a5a3
UFC Fight Night: Lewis vs. Nascimento ,Tabatha Ricci  vs. Tecia Pennington ,W/L,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Nick Berens,Brian Puccillo 28 - 29.Rob Francis 29 - 28.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/13d8d5cd83e5b57e
UFC Fight Night: Lewis vs. Nascimento ,Billy Ray Goff  vs. Trey Waters ,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Josh Stewart,Sal D'amato 27 - 30.David Huyette 27 - 30.Travis Buesking 28 - 29.,http://ufcstats.com/fight-details/ec5d705232983b87
UFC Fight Night: Lewis vs. Nascimento ,Charles Johnson  vs. Jake Hadley ,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Gary Copeland,Brian Puccillo 28 - 29.Sal D'amato 28 - 29.Henry Guery 28 - 29.,http://ufcstats.com/fight-details/4b45f190122a1ce1
UFC Fight Night: Lewis vs. Nascimento ,JJ Aldrich  vs. Veronica Hardy ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Josh Stewart,Henry Guery 28 - 29.Chris Lee 28 - 29.Rob Francis 28 - 29.,http://ufcstats.com/fight-details/ccf3b6eda4c2a564
UFC 301: Pantoja vs. Erceg ,Alexandre Pantoja  vs. Steve Erceg ,W/L,UFC Flyweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Fabio Alves 47 - 48.Sal D'amato 47 - 48.Dave Tirelli 46 - 49.,http://ufcstats.com/fight-details/3f419fce8ba8aa0e
UFC 301: Pantoja vs. Erceg ,Jose Aldo  vs. Jonathan Martinez ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Rafael Ferreira 27 - 30.Ben Cartlidge 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/b3d88eaea611a4a8
UFC 301: Pantoja vs. Erceg ,Anthony Smith  vs. Vitor Petrino ,W/L,Light Heavyweight Bout,Submission ,1,2:00,3 Rnd (5-5-5),Osiris Maia,Guillotine Choke In Clinch ,http://ufcstats.com/fight-details/a8718a3419a11e15
UFC 301: Pantoja vs. Erceg ,Michel Pereira  vs. Ihor Potieria ,W/L,Middleweight Bout,Submission ,1,0:54,3 Rnd (5-5-5),Fernando Portella,Guillotine Choke Standing ,http://ufcstats.com/fight-details/3e74caa9fff4a5eb
UFC 301: Pantoja vs. Erceg ,Paul Craig  vs. Caio Borralho ,L/W,Middleweight Bout,KO/TKO ,2,2:10,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/2db0998b24c11ea0
UFC 301: Pantoja vs. Erceg ,Jack Shore  vs. Joanderson Brito ,L/W,Featherweight Bout,TKO - Doctor's Stoppage ,2,3:35,3 Rnd (5-5-5),Joao Claudio Soares,Leg cut ,http://ufcstats.com/fight-details/c456b1950208e0b2
UFC 301: Pantoja vs. Erceg ,Karolina Kowalkiewicz  vs. Iasmin Lucindo ,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Osiris Maia,Fabio Alves 27 - 30.Sal D'amato 27 - 30.Dave Tirelli 27 - 30.,http://ufcstats.com/fight-details/c84a29f426f1aab7
UFC 301: Pantoja vs. Erceg ,Elves Brener  vs. Myktybek Orolbai ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Fernando Portella,Fabio Alves 27 - 29.Sal D'amato 27 - 29.Dave Tirelli 27 - 29.,http://ufcstats.com/fight-details/8a121f9c48f3773c
UFC 301: Pantoja vs. Erceg ,Joaquim Silva  vs. Drakkar Klose ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Rafael Ferreira 28 - 29.Ben Cartlidge 28 - 29.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/2faf5b8d708f8e94
UFC 301: Pantoja vs. Erceg ,Mauricio Ruffy  vs. Jamie Mullarkey ,W/L,Lightweight Bout,KO/TKO ,1,4:42,3 Rnd (5-5-5),Osiris Maia,Punches to Head At Distance ,http://ufcstats.com/fight-details/b9de363e6b406853
UFC 301: Pantoja vs. Erceg ,Dione Barbosa  vs. Ernesta Kareckaite ,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Fernando Portella,Fabio Alves 28 - 29.Sal D'amato 28 - 29.Dave Tirelli 28 - 29.,http://ufcstats.com/fight-details/4661e9ca9354021e
UFC 301: Pantoja vs. Erceg ,Ismael Bonfim  vs. Vinc Pichel ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Rafael Ferreira 27 - 30.Ben Cartlidge 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/89db7aca37b87711
UFC 301: Pantoja vs. Erceg ,Alessandro Costa  vs. Kevin Borjas ,W/L,Flyweight Bout,KO/TKO ,2,1:35,3 Rnd (5-5-5),Joao Claudio Soares,Punches to Head From Mount ,http://ufcstats.com/fight-details/fe0f1b418e6d3ecb
UFC Fight Night: Nicolau vs. Perez ,Matheus Nicolau  vs. Alex Perez ,L/W,Flyweight Bout,KO/TKO ,2,2:16,5 Rnd (5-5-5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/a0cae57eae875820
UFC Fight Night: Nicolau vs. Perez ,Ryan Spann  vs. Bogdan Guskov ,L/W,Light Heavyweight Bout,KO/TKO ,2,3:16,3 Rnd (5-5-5),Herb Dean,Punches to Head From Guard ,http://ufcstats.com/fight-details/f41e83de703acf85
UFC Fight Night: Nicolau vs. Perez ,Ariane da Silva  vs. Karine Silva ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Adalaide Byrd 27 - 30.Mike Bell 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/45de6d0b9cf5451c
UFC Fight Night: Nicolau vs. Perez ,Austen Lane  vs. Jhonata Diniz ,L/W,Heavyweight Bout,KO/TKO ,2,2:12,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/dae70ccdf9e7475e
UFC Fight Night: Nicolau vs. Perez ,Jonathan Pearce  vs. David Onama ,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 28 - 29.Sal D'amato 28 - 29.Jerin Valel 28 - 29.,http://ufcstats.com/fight-details/7ca5604d99220e88
UFC Fight Night: Nicolau vs. Perez ,Tim Means  vs. Uros Medic ,L/W,Welterweight Bout,KO/TKO ,1,2:09,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/6ea77cb62aa2f276
UFC Fight Night: Nicolau vs. Perez ,Rani Yahya  vs. Victor Henry ,L/W,Bantamweight Bout,KO/TKO ,3,2:36,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance ,http://ufcstats.com/fight-details/55231cc4112334b4
UFC Fight Night: Nicolau vs. Perez ,Austin Hubbard  vs. Michal Figlak ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Eric Colon 28 - 29.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/681cd3cc6299d652
