EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 1,Derrick Lewis,0,9 of 17,52%,15 of 23,1 of 2,50%,0,1,1:40,5 of 11,4 of 6,0 of 0,4 of 10,5 of 5,0 of 2
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 2,Derrick Lewis,0,17 of 35,48%,17 of 35,0 of 2,0%,0,0,1:35,14 of 32,3 of 3,0 of 0,9 of 24,8 of 11,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 3,Derrick Lewis,1,15 of 23,65%,15 of 23,0 of 0,---,0,0,0:08,14 of 22,1 of 1,0 of 0,2 of 7,0 of 0,13 of 16
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 1,Rodrigo Nascimento,0,15 of 23,65%,48 of 62,1 of 1,100%,0,0,2:37,8 of 16,5 of 5,2 of 2,4 of 10,4 of 4,7 of 9
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 2,Rodrigo Nascimento,0,12 of 15,80%,24 of 27,0 of 0,---,0,0,2:09,8 of 11,2 of 2,2 of 2,4 of 7,2 of 2,6 of 6
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 3,Rodrigo Nascimento,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 1,Joaquin Buckley,0,8 of 23,34%,8 of 23,2 of 2,100%,0,0,1:16,5 of 18,2 of 4,1 of 1,4 of 14,0 of 0,4 of 9
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 2,Joaquin Buckley,0,14 of 27,51%,23 of 37,2 of 2,100%,0,0,1:42,8 of 21,5 of 5,1 of 1,7 of 18,0 of 0,7 of 9
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 3,Joaquin Buckley,1,64 of 106,60%,82 of 127,0 of 0,---,0,1,2:32,57 of 98,7 of 8,0 of 0,4 of 18,0 of 0,60 of 88
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 1,Nursulton Ruziboev,0,7 of 22,31%,11 of 27,0 of 0,---,0,0,0:00,4 of 15,3 of 6,0 of 1,7 of 22,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 2,Nursulton Ruziboev,0,8 of 21,38%,15 of 28,0 of 0,---,0,0,0:00,3 of 13,5 of 8,0 of 0,8 of 21,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 3,Nursulton Ruziboev,0,16 of 29,55%,17 of 32,0 of 0,---,0,1,0:34,10 of 18,5 of 10,1 of 1,8 of 16,1 of 1,7 of 12
UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield vs. Carlos Ulberg,Round 1,Alonzo Menifield,0,1 of 4,25%,1 of 4,0 of 0,---,0,0,0:00,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield vs. Carlos Ulberg,Round 1,Carlos Ulberg,1,7 of 11,63%,7 of 11,0 of 0,---,0,0,0:02,7 of 11,0 of 0,0 of 0,5 of 8,0 of 0,2 of 3
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 1,Diego Ferreira,0,21 of 65,32%,28 of 73,0 of 0,---,0,0,0:00,15 of 51,6 of 14,0 of 0,21 of 64,0 of 1,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 2,Diego Ferreira,0,40 of 79,50%,49 of 88,1 of 1,100%,0,0,0:25,31 of 61,8 of 17,1 of 1,38 of 77,0 of 0,2 of 2
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 3,Diego Ferreira,0,62 of 97,63%,74 of 111,2 of 2,100%,0,0,1:47,48 of 77,14 of 20,0 of 0,35 of 62,0 of 0,27 of 35
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 1,Mateusz Rebecki,1,30 of 60,50%,35 of 66,0 of 0,---,0,0,1:16,21 of 51,7 of 7,2 of 2,24 of 52,0 of 0,6 of 8
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 2,Mateusz Rebecki,0,16 of 48,33%,19 of 51,3 of 4,75%,0,0,0:55,12 of 39,1 of 6,3 of 3,16 of 48,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 3,Mateusz Rebecki,0,6 of 29,20%,6 of 29,1 of 1,100%,0,0,0:15,1 of 19,3 of 8,2 of 2,6 of 29,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 1,Alex Caceres,0,18 of 49,36%,18 of 49,0 of 0,---,0,0,0:00,11 of 36,4 of 8,3 of 5,18 of 49,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 2,Alex Caceres,0,32 of 73,43%,32 of 73,0 of 0,---,0,0,0:04,16 of 52,11 of 15,5 of 6,31 of 70,1 of 3,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 3,Alex Caceres,0,32 of 75,42%,35 of 78,0 of 0,---,0,0,0:08,16 of 55,13 of 17,3 of 3,30 of 71,2 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 1,Sean Woodson,0,31 of 63,49%,31 of 63,0 of 0,---,0,0,0:00,18 of 44,3 of 6,10 of 13,31 of 63,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 2,Sean Woodson,0,31 of 71,43%,31 of 71,0 of 0,---,0,0,0:00,16 of 51,9 of 13,6 of 7,29 of 69,2 of 2,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 3,Sean Woodson,0,39 of 92,42%,39 of 92,0 of 0,---,0,0,0:00,27 of 76,7 of 9,5 of 7,38 of 90,1 of 2,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 1,Waldo Cortes-Acosta,0,6 of 10,60%,34 of 49,1 of 1,100%,1,0,4:32,5 of 9,0 of 0,1 of 1,2 of 4,0 of 0,4 of 6
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 2,Waldo Cortes-Acosta,0,25 of 54,46%,42 of 76,1 of 2,50%,0,0,2:44,22 of 51,0 of 0,3 of 3,8 of 12,0 of 1,17 of 41
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 3,Waldo Cortes-Acosta,0,21 of 37,56%,54 of 79,1 of 1,100%,0,0,2:33,17 of 32,0 of 0,4 of 5,5 of 8,0 of 0,16 of 29
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 1,Robelis Despaigne,0,2 of 7,28%,4 of 11,0 of 0,---,0,0,0:00,2 of 7,0 of 0,0 of 0,2 of 7,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 2,Robelis Despaigne,0,13 of 28,46%,13 of 31,0 of 0,---,0,0,0:19,7 of 21,2 of 3,4 of 4,13 of 27,0 of 1,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 3,Robelis Despaigne,0,11 of 17,64%,11 of 17,0 of 0,---,0,0,0:00,2 of 8,0 of 0,9 of 9,11 of 17,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper vs. Viacheslav Borshchev,Round 1,Chase Hooper,1,32 of 62,51%,76 of 123,0 of 0,---,1,0,3:10,28 of 57,4 of 5,0 of 0,3 of 18,0 of 0,29 of 44
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper vs. Viacheslav Borshchev,Round 2,Chase Hooper,0,30 of 47,63%,53 of 94,1 of 1,100%,1,0,2:53,30 of 47,0 of 0,0 of 0,1 of 5,0 of 0,29 of 42
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper vs. Viacheslav Borshchev,Round 1,Viacheslav Borshchev,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:00,1 of 3,0 of 0,1 of 1,2 of 4,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper vs. Viacheslav Borshchev,Round 2,Viacheslav Borshchev,0,0 of 2,0%,0 of 2,0 of 0,---,0,0,0:01,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Terrance McKinney vs. Esteban Ribovics,Round 1,Terrance McKinney,0,5 of 18,27%,5 of 18,0 of 0,---,0,0,0:00,3 of 16,2 of 2,0 of 0,3 of 16,2 of 2,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Terrance McKinney vs. Esteban Ribovics,Round 1,Esteban Ribovics,1,5 of 12,41%,5 of 12,0 of 0,---,0,0,0:00,3 of 8,1 of 2,1 of 2,4 of 10,1 of 2,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 1,Tabatha Ricci,0,25 of 76,32%,26 of 77,1 of 3,33%,0,0,0:07,12 of 52,5 of 11,8 of 13,23 of 72,2 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 2,Tabatha Ricci,0,10 of 27,37%,32 of 50,0 of 5,0%,0,0,3:01,7 of 22,1 of 2,2 of 3,10 of 27,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 3,Tabatha Ricci,0,19 of 40,47%,36 of 59,0 of 2,0%,0,0,2:07,13 of 31,3 of 6,3 of 3,15 of 36,4 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 1,Tecia Pennington,0,42 of 107,39%,47 of 112,0 of 0,---,0,0,0:00,32 of 93,4 of 8,6 of 6,36 of 94,6 of 13,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 2,Tecia Pennington,0,15 of 47,31%,21 of 53,0 of 0,---,0,0,0:00,11 of 41,0 of 1,4 of 5,13 of 39,2 of 8,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 3,Tecia Pennington,0,23 of 65,35%,24 of 66,0 of 2,0%,0,0,0:04,21 of 60,2 of 5,0 of 0,21 of 60,2 of 5,0 of 0
